Name in GIZ-internal database,Project ID,Catchy Title [for dataset],"Catchy Title [for use case, application]",Country / Region ,What this is about/Description,Access to the dataset [link],"Access to AI Model, Software, AI Application [link]",Sector /Sustainable Development Goal ,Use Case Pipeline Status / maturity [INTERNAL],Type of Data,Point of contact & community support ,Data characteristics: how to use it & key characteristics ,"Model characteristics: How to use & key characteristics of the AI Model, Software, AI Application",How to use it: How can you concretely work with this and built on this? How much will this cost and which resources are available to help me? ,"Organizations involved - including logos, links and visual elements",Authors of this information:,Technical Domain,Expressive visualization / picture related to dataset / possible use / story-tellling,License,"Additional Resources (Paper, Publications, etc)",,Info on fair sharing as as Digital Public Good ,Comments
Scaling Language AI: 4 Billion Conversations with CLEAR Global,ui_10,,Providing a toolbox to build chatbots in African languages,Global / Regional,A generic open source set of tools and practices that should enable all other innovators to build (and perhaps scale) more easily chatbots in African languages,,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",,NLP,,,,,,
Masakhane Grant (Local Subsidy),ui_11,,Supporting Pan-African research Networks on natural language processing (Masakhane),Global / Regional,"Supporting the Masakhane network to develop an NLP data catalogue, handbook, datasheets, and governance models for management of catalogue, see https://www.masakhane.io/",,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",,NLP,,,,,,
Mozilla Community Licence Project,ui_12,,"Our language, our data: Co-creating equitable governance models with African language communities",Global / Regional,"Our language, our data: Co-creating equitable governance models with African language communities",,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",,NLP,,,,,,
African NLP network (Federated NLP Ecosystem),ui_13,,[draft] African NLP network (Federated NLP Ecosystem),Global / Regional,"DUMMY (to be refined with partners)
 
 Supporting the set-up of a federated NLP ecosystem of NLP companies across Africa",,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",,NLP,,,,,,
Digital Audio Content Creation for Women's Empowerment Using Language Technologies,ui_14,"AI-generated Voice Content in Indian Languages on Health, Sustainable Agriculture and Education

",Empowering Women Across India with Voice-based Knowledge in Their Native Languages,India,"Empowering Women Across India with Voice-based Knowledge in Their Native Languages: By using openly accessible text-to-speech models from the Indian Institute of Science (IISc) and MeitY's Digital India Bhashini Division, Audiopedia created health-related 400+ audio messages that can be shared with civil society organizations for awareness raising and capacity building",https://audiopedia.app.box.com/s/4wtqy4idpnilf3b3abisuuu2vdi0oi1q,https://www.audiopedia.foundation/bharat,Natural Language Processing,TTS Model --> Use-Case,"Text, Audio","Audiopedia Foundation (https://www.audiopedia.foundation/), Marcel Heyne (contact@audiopedia.org)","Audiopedia has created useful content on various topics including health, education, financial literacy. This data is available in text and audio format in multiple languages incl. low-resource languages.","For the generation of audio messages, Audiopedia used openly accessible text-to-speech models from the Indian Institute of Science (IISc) and MeitY's Digital India Bhashini Division.","Civil society organizations can use the existing voice content to generate tailored, AI-powered messages in various Indian languages across different topics including health, education, agriculture and other social topics. Civil society organizations can deploy these messages in rural and semi-urban areas using easy-to-use digital tools incl. WhatsApp messaging or feature phones.","Powered by: Audiopedia
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",Philipp Olbrich,NLP,https://gizonline.sharepoint.com/:i:/r/teams/AI-Labwithguests/Freigegebene%20Dokumente/L%C3%A4nderanalyse%20Indien/33_Activity%20Y_of_India%20Audiopedia/Audiopedia%20-%20credit%20Audiopedia%20Foundation.jpg?csf=1&web=1&e=eJSqhM,CC-BY-SA,,,,
Hyperlocal Mapping of Air Pollution and GHG Emissions in India with UNDP,ui_15,Open Air Pollution Data for Patna and Gurugram,Combatting Air Pollution and GHG Emissions in India through hyperlocal AI-powered mapping,India,"Under this initiative, a novel approach is employed by leveraging citizen scientists and IoT-based low-cost sensors to collect hyperlocal air quality data. This data is used to identify pollution sources and risk zones, facilitating targeted actions by regulatory authorities.To showcase data outreach, the project features the VAYU Android-based application and the VAYU citizen portal digital stack, which support targeted interventions and customized solutions backed by AI/ML algorithms. These tools potentially develop new approaches in air pollution management while reducing public investment costs.",https://vayu.undp.org.in/,https://github.com/undpindia/VAYU_OpenAir; https://github.com/EconAIorg/vayu-gnn/tree/main; https://github.com/Alphawarrior21/VayuAssist; https://github.com/akbp24/ClearSky; https://github.com/sherwaldeepesh/vayu_airnode,Climate Action,Dataset --> Pilot --> Use-Case,Geospatial,UNDP India (https://www.undp.org/india),"The data for this project is collected by static and dynamic sensor. Static sensors are placed at known hotspots for air pollution while dynamic sensors are moved by citizen scientist continously. 
•        2 Cities
•        100+ Senors
•        150+ Volunteers
•        1000+ Records Collected
•        ~10Million Data Points
","Sensors data is continously shared with specific pollutoin boards, and us ecase dvelopeed under project combined AI and ML to detect pollution sources and provide early alerts, enabling rapid response and policy action.",,"Powered by:  UNDP India
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)","Jonas Nothnagel, Arun Kumar Yadav",Computer Vision,,CC-BY,,,,
IISc - Open Voice Data in Indian Languages,ui_16,Open-source text-to-speech datasets in 9 Indian languages (Hindi | Bengali | Marathi | Telugu | Bhojpuri | Kannada | Magadhi | Chhattisgarhi | Maithili),Build inclusive voice technologies in 9 Indian Languages through open language datasets,India,"This dataset is part of the initiative SYSPIN (SYnthesizing SPeech in INdian languages), that develops large open-source Text-to-Speech (TTS) corpora, i.e., speech training datasets and AI models in 9 Indian languages, namely – Bengali, Bhojpuri, Chhattisgarhi, Hindi, Kannada, Magahi, Maithili, Marathi, and Telugu. This data is useful for those wishing to build voice-enabled, user-friendly applications in Indian languages. Through voice-based solutions, these AI models can be used to empower communities that do not have access to digital services in their own native language. They can be used by private companies, researchers, NGOs or government departments to develop digital applications. 
 
 The datasets and TTS models are available to the AI community and anyone wishing to build voice-enabled applications in Indian languages.",https://syspin.iisc.ac.in/datasets,"https://huggingface.co/SYSPIN, https://bhashini.gov.in/ulca/model/explore-models",Natural Language Processing,Dataset --> Pilot,Audio,"Dr. Prasanta Ghosh (prasantag@iisc.ac.in), Dr. Philipp Olbrich (philipp.olbrich@giz.de)","The Data is fully open-sourced and can be accessed at:
 • IISc website: <https://spiredatasets.ee.iisc.ac.in/syspincorpus>
 TTS Dataset:
 • License: CC-BY 4.0
 • Data Type: Audio recording
 • Sentence creation: Variety of domains covered in the sentences/text and phonetically rich sentence selection
 • Accounts for dialect variability
 • Voice artist selection and balanced duration per voice artist 
 • Voice recording: 40 hours of recording by 1 male voice artist and 1 female voice artist for each of the 9 languages
 • Studio-quality audio with 48kHz, 24 bits per sample from every voice artist
 • Data was collected and created over 3 years from 2021-2024","Processed Data:
 The validated sentences were recording in a recording room (size 10'3"" x 5'9"") by voice artists using a Neumann TLM-103 studio microphone and Audio Interface UAD Apollo Twin X. 
 Application:
 IISc has organised the LIMMITS challenges (2023, 2025) as part of IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP) to build TTS voices, share web API for evaluation, and allow researchers to contribute towards the development of streaming and neural codec-based TTS systems. 
 Audio files of Audiopedia Foundation’s content created in the low-resource language Chhattisgarhi using IISc TTS Chhattisgarhi model can be found here.","The TTS models can be used to develop innovative solutions and voice-based services for Indians in their native language. This would be especially beneficial for those who cannot read/write or have speech and visual disabilities but can access digital services through audio/voice-based mediums. The data and models are a crucial stepping stone for developing such assistive technologies. Including low-resource languages, some of which do not even have enough print/digital literature, would benefit vulnerable communities for whom language barriers make access to technological solutions even more difficult. The 720 hours of open-source TTS data also present immense opportunities for academic and industrial research.","Powered by: Indian Institute of Science IISc 
Catalyzed by: Bhashini, FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)","Philipp Olbrich, Prasanta Ghosh",NLP,https://www.bmz-digital.global/wp-content/uploads/resized/2025/05/%C2%A9_Indian_Institute_of_Science-e1748257351216-936x569.739130435-c-default.jpg,CC-BY,https://www.bmz-digital.global/en/news/loud-and-clear-open-source-for-indias-linguistic-diversity/,,,
Wadhwani AI - Open AI for Cotton Pest Control with smallholder farmers - National Entrepreneurship Network (NEN),ui_17,AI Pest Management: Open Data for Pink Bollworms and American Bollworms,Cotton Ace: AI-driven Pest Management for Cotton Farmers in India,India,"Wadhwani AI has developed a mobile app to support cotton farmers combat pest infestations, a major threat to cotton productivity. For this, they have collaborated with FAIR Forward – AI for All, a project of German Development Cooperation. The app allows farmers to take photos of pheromone traps, which capture male bollworms, and uses an AI model to count the pests in the images. Based on the AI-generated counts, the app provides recommendations to farmers on how to respond. This technology empowers small-scale farmers to make informed decisions, reduce uncertainty in yield, and improve their livelihoods.
 
 As the codebase, dataset and research are openly available it can be used to build on, test and research similar applications in other contexts. This would esp. apply to problems of identification and counting of agricultural pests.",https://source.coop/repositories/wadhwani-ai/wiai-pm-open-data/description; https://github.com/WadhwaniAI/pest-management-opendata?tab=readme-ov-file; https://huggingface.co/datasets/wadhwani-ai/pest-management-opendata,"https://github.com/WadhwaniAI/pest-monitoring, https://dl.acm.org/doi/10.1145/3394486.3403363",Agriculture,Dataset --> Pilot --> Use-Case,Images,"Wadhwani AI (agri-ai@wadhwaniai.org), Github (https://github.com/WadhwaniAI/pest-monitoring)","Wadhwani AI with support from German Development Cooperation provided training data consisting of ca. 13,000 images:
 
 (a) These images were captured by farmers and farm extension workers since 2018
 (b) The dataset contains two types of images: those with pests and bounding boxes labelling either pink bollworm (PBW) or American bollworm (ABW), and those without pests, representing real-world user behavior.
 (c) License: Apache 2.0","Wadhwani AI with support from German Development cooperation provided the codebase of the pest identification model:
 
 (a) At its core, this repository packages an object detection implementation. 
 (b) While there are several object detection implementations, and even implementation aggregations, there are none that completely solve for the challenges faced here (e.g., highly diverse image quality, model size restrictions)
 (c) License: Apache 2.0",,"Powered by:  Wadhwani AI
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)","JP Tripathi, Philipp Olbrich",Computer Vision,,Apache 2.0,https://www.wadhwaniai.org/programs/pest-management/pest-management-ai-solution/,,,
Gramvaani Automatic Speech Recognition (ASR),ui_18,Manual Transcriptions to provide high quality Q&A Audio to Text data in Hindi in the domain of Sexual & Reproductive Health,Providing better information on sexual and reproductive health and rights (SRHR) of young people through the Kahi Ankahi Baatein infloline (Hindi LLM finetuning),India,Improve the Kahi Ankahi Baatein (KAB) platform by fine-tuning Hindi LLMs for better user experience.,https://gitlab.com/gramvaani/giz_kab_bert_sourcecode/-/blob/main/SRHR%20automated%20QnA-KAB.xlsx?ref_type=heads,https://gitlab.com/gramvaani/giz_kab_bert_sourcecode ,Natural Language Processing,Dataset --> Pilot,Text,GramVaani (https://gramvaani.org/),The dataset provides a small sample of manually transcribed voice data from the KAB helpline (https://gramvaani.org/indias-new-sexual-health-info-line/). The voice recordings are in Hindi as well as the transcriptions. The dataset consists of transcriptions of Questions that people have asked as well as the corresponding answers from the database. The dataset is further tagged with other useful labels such as domain or relevance of answer provided. ,"A Transformer-based architecture, specifically BERT (bert-base-multilingual-cased), is employed using TensorFlow. The model is trained on question pairs for a similarity classification task. Positive samples consist of similar question pairs, while negative samples involve random question pairs. The pretrained multilingual BERT model from HuggingFace is utilized to obtain embeddings for each input.Eventually, as a result the model generates similarity scores for question pairs in the test set.","There are two resources to build on and use:
1) The dataset can be used as a resource to fine-tune Q&A capabilities of LLMs specifically for the Sexual and Reproductive Health domain. The dataset can be further used to quality check and/or improve Speech to Text models. 
2) the fine-tuned model can be used for down-stream applications that need Hindi LLM capabilities in the Sexual and Reproductive Health domain.","Powered by: GramVaani
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",Jonas Nothnagel,NLP,,,https://gramvaani.org/answering-questions-on-sexuality-through-kahi-ankahi-baatein-2/,,,
100 hours of Text to Speech Dataset for Mundari Language,ui_19,Open-source text-to-speech and machine translation datasets in Mundari,Open-source text-to-speech and machine translation datasets in Mundari,India,100 hours of Text to Speech Dataset for Mundari Language,https://github.com/karya-inc/dataset-hindi-mundari-translation; https://github.com/karya-inc/dataset-mundari-tts,https://github.com/microsoft/MunTTS-A-Text-to-Speech-System-For-Mundari,Natural Language Processing,Dataset --> Model,Text,Karya (https://karya.in/),"Translation: This corpus contains a collection of sentence pairs that have been translated from Hindi to Mundari. The dataset was created as part of a collaboration between Microsoft Research India, Indian Institute of Technology Kharagpur, and Karya. This dataset is realeased under the non-commercial version of the Karya Public License. Please read the ""License"" section below for a high-level summary of what you are allowed and not allowed to do under this license. The dataset contains 17,826 sentence pairs of Hindi to Mundari translations. The translations are stored in a single TSV file translation-hi-unr.tsv with UTF-8 encoding. Each line in the TSV file contains two columns, separated by a tab character. The first column contains the Hindi sentence, and the second column contains the corresponding Mundari translation.

Text-to-speech:The Mundari TTS dataset corpus contains a total of 26,870 audio files, each containing a single utterance spoken by one of the two speakers. The audio is recorded in 32-bit PCM format with a sampling rate of 44.1 kHz. The dataset includes transcripts for each audio file in Mundari script. The recordings were collected in a sound-treated room using a high-quality microphone and preamp.

","MunTTS, an end-to-end text-to-speech (TTS) system specifically for Mundari, a low-resource Indian language of the Austo-Asiatic family. Our work addresses the gap in linguistic technology for underrepresented languages by collecting and processing data to build a speech synthesis system. We begin our study by gathering a substantial dataset of Mundari text and speech and train end-to-end speech models. We also delve into the methods used for training our models, ensuring they are efficient and effective despite the data constraints. We evaluate our system with native speakers and objective metrics, demonstrating its potential as a tool for preserving and promoting the Mundari language in the digital age.","The Mundari TTS dataset corpus includes recordings from two different speakers: a female speaker and a male speaker. The female speaker contributed 19,868 recordings, while the male speaker contributed 7,002 recordings.

The total size of the corpus is approximately 17 GB (7 GB compressed). Therefore, the full dataset is hosted in cloud storage (instead of this github repository). This repository contains a sample of 100 recordings from each speaker. Please email data@karya.in for a link to download the full dataset.","Powered by: Karya Inc. 
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",Philipp Olbrich,NLP,,BY-NC-SA-FS,https://aclanthology.org/2024.computel-1.11/,,,
Digital Green - Local dataset collection for climate-smart agriculture,ui_20,"Geospatial dataset of wheat and rice farmers in Bihar, India",Data-driven decision-making for farmers to increase climate resilience,India,"The project developed a scalable data collection model for JEEViKA’s frontline workers, integrating digital tools and geofencing, and empowered farmers with personalized climate-smart advice through Farmer Scorecards.",https://github.com/digitalgreenorg/frame-templates,https://github.com/digitalgreenorg/frame-templates,"Agriculture, Climate Action",Dataset --> Pilot,Tabular,Digital Green (https://digitalgreen.org/ourwork/india/),"The data was collected through a survey conducted across multiple districts in India. It consists of a variety of factors that could potentially impact the yield of rice crops. These factors include things like the type and amount of fertilizers used, the quantity of seedlings planted, methods of preparing the land, different irrigation techniques employed, among other features. The dataset comprises more than 5000 data points, each having more than 40 features.
",Multiple models are available based on the shared data. Plesae refer to the GitHub repository.,"Smallholder farmers are crucial contributors to global food production, and in India often suffer most from poverty and malnutrition. These farmers face challenges such as limited access to modern agriculture, unpredictable weather, and resource constraints. To tackle this issue, Digital Green collected data via surveys, offering insights into farming practices, environmental conditions, and crop yields.

The possibilities include creating a machine learning solution to predict the crop yield per acre of rice or wheat crops in India. Our goal is to empower these farmers and break the cycle of poverty and malnutrition.","Powered by: Digital Green 
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)
",Philipp Olbrich,Computer Vision,,CC-BY 4.0,https://digitalgreen.org/wp-content/uploads/2024/10/GIZ-FF_DG_Learning-Report.pdf,,,
ML4EO Telangana: Crop Identification,ui_21,Open Dataset of Farm Boundaries and Crop Cultivation in Telangana State,Support Sustainable Agriculture in Telangana through AI-powered Crop Identification and Crop Health Prediction,India,"This AI application and replication-kit is about an AI-based crop type map for Telangana. This should be of use to anyone wishing to support sustainable farming practices and evidence-based decision-making for agricultural. Also, this can be used to empower you, as a local business, and NGOs, or a government agency to develop digital agricultural applications. The application focuses on creating localized ground-truth data on several different crop related variables to train AI models tailored to Telangana's diverse agricultural landscape. This includes an open-access ground-truth dataset, a data challenge with openly available models for yield prediction, a crop classification model using satellite imagery applied to map the whole state of Telangana, and a roadmap for AI implementation in agriculture. Datasets, AI models, and crop maps are all openly available as an open-source replication kit and digital public good.",https://dataexplorer.ts.adex.org.in/dataset/583e8f01-160e-4f51-bde5-31dc7f2a5887,https://drive.google.com/drive/folders/1TOuuCLtlNzTh7JS69B5OgT0wLrMzM4rv?usp=drive_link; https://zindi.africa/competitions/telangana-crop-health-challenge,"Agriculture, Climate Action",Dataset --> Pilot --> Use-Case,Geospatial,WRMS (https://wrmsglobal.com/),"The Data is fully open-sourced and can be accessed at the Telangana Data Exchange Platform: ADEX
 • License: CC BY 4.0
 • Data Type: Tabular
 • Key Variables: Crop type (6), Crop Health, Crop Yield, Irrigation Methods.
 • Appr. No of observations: > 12000 
 • Appr. No of dimensions: 45 
 • Covering 6 Mandals in Telangana
 • Format: dbf, csv
 
 The data was collected over the span of 1.5 years covering different crop cycles between 2022 and 2024. The Data Collection was conducted by WRMS via on-the-ground visits of the fields and by surveying farmers in Telangana State.","Processed Data:
 The ground truth data was combined with open-source Sentinel-2 data to create a geospatial dataset with crop type as labels.
 The processed dataset can be accessed here: Processed Data
 Code for Crop Classification Model:
 Code to create the training data and for training the models for crop mapping can be accessed here: Code
 Application:
 The resulting shapefiles that predict crop type for the state of Telangana are deployed on DICRA – a digital public good ran by the Indian Development Bank NABARD and UNDP: DICRA
 Based on the collected data, GIZ organised a data challenged together with Zindi to build state-of-the-art crop mapping models. The outcomes of the challenge can be accessed here: Zindi","You can make use of the existing models on yield prediction and crop type mapping to infer other similar datapoints – for example neighbouring states of Telangana. Additionally, you can try to combine the dataset with other existing open-source datasets from the ADEX platform and conduct research/commercial scoping on these. 
 The present dataset is quite unique in the fact that it includes observations such as irrigation methods, crop health and expected yield. You may combine these with other data sources, i.e. satellite/remote sensing data (open-source or commercial) to build high-quality crop monitoring/recommendation systems to support various agricultural entities, farmers and decision makers in India. This could also inform commercial products. 
 As crop mapping is a prominent use-case, the data can be used for benchmarking different available crop datasets and models or inform foundational geospatial models as well as constitute to a region-wide crop mapping. Potential partners on the ground for collaboration, commercial involvement or funding are the Telangana Government, specifically the IT and Agricultural department and Nabard Dicra.","Powered by:  WRMS for Data Collection (https://wrmsglobal.com/), ZINDI for the data challenge (https://zindi.africa/) and Vertify for Model Development (https://vertify.earth/)
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",Jonas Nothnagel,Computer Vision,,,,,,
Developing a concept with MFIN on voice-based chatbot,ui_22,,MicroFinance Industry Network India use of voice technology (Gramvaani),India,"Contract name: Automation of components of the MFIN-CGRM CRM solution 
 Follow-up project from former MFIN engagement to move from prototype to production and implement the remaining use-cases.",,,Natural Language Processing,Dataset --> Pilot,Text,GramVaani (https://gramvaani.org/),,,,"Powered by:  GramVaani
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",,NLP,,,,,,
Forest Forward,ui_24,AI for Forest Conservation,Forest Forward II: Using AI to map carbon in forests using High Carbon Stock Approach and assess fire vulnerability of forests to Combat Climate Change and Protect Livelihoods in India,India,"Mapping carbon content in forests: This application leverages advanced geospatial technologies, such as remote sensing and AI, to support forest conservation efforts in India. The application will allow stakeholders to better monitor forest health, estimate biomass, and contribute to climate mitigation efforts.
 Fire Vulnerability Mapping: This application would help develop a fire vulnerability map which could help to identify areas that are prone to fires based on several forest degradation indicators.",,https://github.com/vertify-earth/biomass-dl-model-training; https://github.com/vertify-earth/ForestFireGoa; https://huggingface.co/vertify/biomass-model,Climate Action,Dataset --> Pilot,Geospatial (biomass),"Michael Anthony <michael@vertify.earth>
Ruth Schmidt <ruth.schmidt@giz.de>
 Aishwarya Salvi <aishwarya.santoshsalvi@giz.de>
 Jonas Nothnagel <jonas.nothnagel@giz.de>","The datasets used for this projects are all publicly available or accessible via common platforms such as Planet.com 
More details to follow.","This model is trained to predict above-ground biomass (AGB) in tropical and subtropical forests using multi-source satellite imagery at the pixel level. Specifically:

Prediction Unit: Estimates biomass at individual pixel level (typically 10-40m resolution depending on input data)
Output: Biomass density in Mg/ha (megagrams per hectare)
Input Data: Processes multi-sensor data including Sentinel-1, Sentinel-2, Landsat-8, PALSAR, and DEM
Application Scope: Best suited for tropical and subtropical forest ecosystems in South/Southeast Asia
Biomass Range: Validated for forests with biomass between ~40-460 Mg/ha","The pipeline is designed to handle multi-source satellite imagery and corresponding biomass data with pixel-level precision. Key aspects include:

End-to-End Workflow: From raw data ingestion to model training, evaluation, and deployment
Advanced Feature Engineering: Comprehensive spectral indices, texture features, spatial gradients, and PCA components
Stable Neural Architecture: Utilizes a custom StableResNet with residual connections and layer normalization for robust biomass regression
Multi-Site Data Processing: Capable of processing and integrating data from multiple geographically distinct study sites
Flexible Deployment: Includes HuggingFace deployment capabilities with Gradio interface
Memory Efficient Processing: Chunk-based processing for handling large satellite images","Powered by:  Vertify.Earth
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)","Jonas Nothnagel, Philipp Olbrich",Computer Vision,,MIT License,,,,
GeoAI for Soil Conservation: Innovations for Telangana,ui_25,Open Soil Data for local AI Innovation in Telangana,Measuring Soil Health for more Sustainable Agriculture in Telangana and beyond,India,Merged from 2 service contract: (1) implement CC recommendations nationla (110k) and (2) implement CC recommendations state (20k),,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,Computer Vision,,,,,,
Two Al-based dialogue systems (e.g. voice-based chatbot) in Indian Languages - consultancy for design implementation etc,ui_26,,Voice-based advisory for farmers (female kitchen gardeners) with NiceSSM / Use Case Gramvaani,India,Creation of voice based chatbots,,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,NLP,,,,,,
Making the Indian voice datasets more sustainable: Hackathon with Bhashini on voice data for climate & sustainable agriculture,ui_27,,Hack4TTS: Crafting Voice for India’s Low-Resource Languages - Building TTS Systems for Low-Resource Indian Languages with Accent and Style Transfer,India,"Combined from two formerly planned service contracts (1) Making the IISc datasets more sustainable, usable, support AIEP, make use-cases possible + (2) Hackathon for IISc voice datasets with Bhashini on climate & sustainable agriculture",,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,NLP,,,,,,
Use case development Indonesia,ui_28,,Climate Disinformation in Local Indonesian Languages,Indonesia,"This AI application is about developing an AI-based system to tackle climate misinformation in Indonesia, focusing on creating accurate and accessible information tools. The initiative aims to build a multilingual disinformation detection system, covering Bahasa Indonesia and over 10,6 million words and 21 million words translation from Minangkabau, Balinese, and Buginese to classify and verify climate-related content. The application supports stakeholders, including government agencies, NGOs, and communities, in countering false narratives, promoting awareness, and enabling evidence-based decision-making. The AI outcomes include open-access datasets, disinformation, and topic classification models, a user-friendly website, and a chatbot. These tools empower users to identify climate misinformation, enhance public literacy, and foster collaboration for sustainable climate actions. The project emphasizes inclusivity, accessibility, and long-term impact, providing resources for researchers, local businesses, and policy-makers to advance AI applications in combating misinformation. Prosa has developed an AI-powered chatbot to address climate misinformation. The platform's website is available at faktaiklim.prosa.ai, and the chatbot can be accessed via Telegram (Fakta Iklim Bot), with open-source code available on GitHub. User guides are provided in four languages: Indonesian, Minangkabau, Balinese, and Bugis.",https://huggingface.co/prosa-text,https://faktaiklim.prosa.ai/,"Climate Action, Natural Language Processing",Dataset --> Pilot --> Use-Case,Text,"Bappenas (https://www.bappenas.go.id/), Prosa AI (https://prosa.ai/)","The data for this project is fully open-sourced and can be accessed through Hugging Face.
 ● License: CC BY-SA 4.0
 ● Data Type: Tabular
 ● Key Variables: Climate disinformation classification, topic categorization, language distribution (Bahasa Indonesia and regional languages: Minangkabau, Balinese, Buginese)
 ● Format: CSV
 ● Data Collection Period: Over 3 months, covering diverse misinformation cases in climate-related domains
 
 Data collection involved web crawling and inputs from local communities and experts, using sources like government websites, news articles, and scientific literature. Annotations by trained linguists and marginalized community members followed strict guidelines for consistency. The datasets are formatted for easy integration with AI tools.","Processed Data and Pretrained Models:
 Use the multilingual datasets and pre-trained models (IndoBERT, IndoBERTNusa) to detect climate misinformation. The processed dataset can be accessed here: Processed Data
 
 Code for AI Models:
 Access the GitHub repository containing scripts for preprocessing datasets, fine-tuning language models, and training disinformation classifiers. These can be customized for various applications.
 
 Application Deployment:
 The resulting models are integrated into platforms like Kominfo's Anti-Hoax portal and social media crawling APIs. Additionally, a chatbot leveraging these AI models is available to verify climate-related information in real-time. The chatbot and models are publicly accessible via APIs to support further innovation and integration by developers.","You can leverage AI models and datasets to develop or enhance applications to address climate misinformation and advance public education. These resources can be adapted to new languages, regions, or even other misinformation topics, such as health or political issues. Combining the datasets with additional sources, like satellite imagery or weather data, could lead to innovative AI applications, including real-time fact-checking tools or misinformation monitoring dashboards. Researchers and developers can also use the models to benchmark against other datasets or refine methodologies, unlocking opportunities for both academic and commercial advancements.
 
 These tools can be integrated into platforms like government portals or social media moderation systems to maximize impact. Interactive educational applications, such as gamified platforms or public learning modules, could further engage communities. Collaboration with stakeholders—including government agencies, NGOs, and private companies—can help scale the tools, secure funding, and drive wider adoption. Through partnerships and expanded deployment, this project can contribute to fostering critical awareness and combating misinformation effectively.","Powered by:  
Catalyzed by: FAIR Forward - AI for All
Financed by: BMZ",,NLP,,,,,,
