Project ID,Catchy Title [for dataset],"Catchy Title [for use case, application]",Country / Region ,What this is about/Description,Access to the dataset [link],"Access to AI Model, Software, AI Application [link]",Sector /Sustainable Development Goal ,Maturity / Readiness for replication or scaling [INTERNAL],Type of Data,Point of contact & community support ,Data characteristics: how to use it & key characteristics ,"Model characteristics: How to use & key characteristics of the AI Model, Software, AI Application",How to use it: How can you concretely work with this and built on this? How much will this cost and which resources are available to help me? ,"Organizations involved - including logos, links and visual elements",Editor of this information:,Technical Domain,Expressive visualization / picture related to dataset / possible use / story-tellling,License,"Additional Resources (Paper, Publications, etc)",Lacuna Dataset (Yes/No),Info on fair sharing as as Digital Public Good ,Comments,Name in GIZ-internal database
ui_64,Datasets for transportation impact evaluation,Urban roadspace classification data and model,Colombia,"The team developed a labeled training dataset, derived from 50cm or better satellite imagery, based on a novel, pre-defined road space classification taxonomy appropriate for training and deployment of large-scale deep-learning models",GitHub - yangshao2/UrbanInfraDL,,"Reduce inequality, SDG2",Dataset > Model,Geospatial,"Fundación Despacio,World Resources Institute,Fundación Despacio","Dataset and model available in Github. Dataset of  roadspace from 15 areas of Bogota each 1Km. 
Bogotá’s orthophoto and GIS layers. 
Data Dictionary ",Model that was tested for the entire city of Bogotá to clasify urban roadspace..And it worked with 98% reliability. Unfortunately not more info available,,"Powered by: Fundación Despacio
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Luisa Olaya,Computer Vision ,,CC-BY 4.0 license,Link to White paper,Yes,,"First Editing done by Luisa 28.08.2026 / Availability on Github: it doesn´t have a good exmplanation, which makes it hard to know what is it about.",
ui_65,"Monitoring the impact of palm oil monoculture, shrimp aquaculture & mining in continental Ecuador and the Galapagos using AI",,Ecuador,"The dataset can help to build systems, that can monitor the impact of palm oil monoculture, shrimp aquaculture, mining and other land transformations in continental Ecuador and Galapagos. The project created a 20.000 points land use/cover classification training dataset from existing data, with labels that can be used to train multi-spectral Earth observation (EO) data machine learning (ML)  models covering continental Ecuador and the Galapagos islands.",LULC training data for Ecuador - ML,,"Climate action SDG 13, Life on Land (SDG 15): sustainably manage forests, halt and reverse land degradation and halt biodiversity loss.",Dataset,Geospatial,Fundacion Ecociencia,"Two datasets available: 
- BaseDatosValidacionFinal30052: This is the raw dataset containing 20,000 georeferenced points along with their respective land cover classifications.
- LULC Training Data for Ecuador ML: This dataset builds upon the first by incorporating additional information on the conservation status of each point. This includes whether the location falls within protected areas, indigenous territories, areas under government forest incentive programs, and other conservation-related designations.",,"This dataset will allow for a better understanding of land transformation dynamics taking place, such as forest conversion to palm oil monoculture, mangrove transformation to shrimp aquaculture, water bodies and estuarine vegetation impacted by mining, natural grasslands encroached upon by expanding forest plantation, and more. It also has the potential to identify recovery cases. For example, the Galapagos data might provide the ability to estimate if invasive species control programs have had a positive impact in vegetation regeneration or if governmental forest incentives are promoting deforestation reduction in the Ecuadorian Amazon. The land’s conservation status has the potential to predict risk of future transformation. ","Powered by:  Ecociencia
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Luisa Olaya,Computer Vision ,,CC-BY 4.0 license,"Quote: “Land cover/use temporal trends are essential to understand the status of the remaining natural cover and change trends. But understanding the drivers of land use/cover change with local precision has proved challenging when working with existing global-scale datasets. Lacuna Fund’s support will allow us to create a precise dataset that will elevate our ability to discriminate land use classes that are both temporally and spatially descriptive. This funding will also support an extra layer of data to support projects aimed at reducing the pressure on standing forests and help maintain the socio-natural systems that have successfully prevented conversion of forests for anthropogenic use.” 

– Wagner Holguín, Coordinator of MapBiomas Ecuador, Fundación Ecociencia ",Yes,,"First Editing done by Luisa 28.08.2027, titel and description revised by Balthas on 2.9. to strenghten the ""What can I do with this dataset"" dimension - catchy title.",Machine learning training data for continental Ecuador and Galapagos
ui_66,Forest carbon sequestration in the Congo Basin: combining In Situ Data and Artificial Intelligence to unlock climate finance ,,"Cameroon,DRC",,,,,,,World Resources Institute,,,,"Powered by:  [ADD!!!]
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: ""At a time when the Congo Basin has become the most important rainforest carbon sink, and one of the highest biodiversity hotspots in the world, understanding and tracking its dynamics is more urgent than ever if we want to achieve global 2030 climate and biodiversity goals. With support from Lacuna Fund, our project will help bring machine learning to scientists working on the ground to monitor this ecosystem. It will pilot innovative technologies to close knowledge gaps and help speed action towards better managing these rainforests, ensuring a better world for people, nature, and climate.”  

— Teodyl Nkuintchua, Congo Basin Strategy and Engagement Leader and Country Manager for Republic of Congo, World Resources Institute Africa ",Yes,,,
ui_67,Indigenous Knowledge Meets AI: Monitoring Elephants and Rodents in Kenya and Ecuador with Biodiversity AI-Datasets,,"Ecuador,Kenya",,,,,,,GEO Indigenous Alliance,"This meteorological dataset has been accumulated over a period of 18 months for the six urban centers. This weather data comprises of up to 10 essential variables such as temperature, atmospheric pressure, humidity and Precipitation, thus providing an all-around perspective of the environmental elements impacting energy consumption.",,,"Powered by:  [ADD!!!]
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: “Through the integration of Indigenous knowledge and cutting-edge technology, the Ltome-Katip project not only addresses pressing environmental and technical machine learning challenges but empowers Indigenous communities to lead the way in conservation efforts. This initiative, in collaboration with the Rochester Institute and Space4Innovation, represents a true partnership between the Shuar tribe in the Ecuadorian Amazon and the Samburu tribe in northern Kenya, showcasing the power of collaboration and Indigenous knowledge in safeguarding our planet’s biodiversity.” 

— Mario Vargas Shakaim (Shuar), Ltome-Katip Indigenous-Led Monitoring Project GEO Indigenous Alliance ",Yes,,,
ui_68,AI for Mangrove Carbon Credits: Turning Forest Data into Climate Action in Côte d’Ivoire,,Cote d'Ivoire,,,,,,,data354,,,,"Powered by:  [ADD!!!]
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: “As far as monitoring and calculating forest carbon stocks are concerned, there is still a major technological bottleneck blocking the large-scale development of forest carbon credits in Côte d’Ivoire, which needs to be overcome quickly. Remote sensing is a useful tool in the forest monitoring process; further studies should be carried out to enable it to meet the need for assessment on a smaller scale and to measure biomass directly. In this way, we can help decision-makers orient their conservation policies, but also support the process of rewarding small players, such as agricultural producers involved in agroforestry, private forestry, etc. Our aim, with the funds raised, is to provide practical field data to better train artificial intelligence algorithms for dynamic mapping of forest biomass and mangroves.”   

 — Abraham Bio, Actum Dev General Manager ",Yes,,,
ui_69,Mapping Cocoa Landscapes in Ghana: Reference Data for Tracking Land Use Change,,Ghana,This dataset was produced by the Centre for Remote Sensing and Geographic Information Services (CERSGIS) as part of the project Reference Data Collection for Improving Land Use Change Mapping in Ghana. The primary objective was to develop high-quality reference data to enhance the accuracy of remote sensing-based land use and land cover (LULC) change mapping using machine learning methods in Ghana’s cocoa production landscapes.,https://zenodo.org/records/15778396,,"Life on Land (SDG 15): sustainably manage forests, halt and reverse land degradation and halt biodiversity loss.",Dataset,Geospatial,Center for Remote Sensing and Geographic Information Services,"Content:
• 21,031 geocoded cocoa farm polygons (including agroforestry and shadeless cocoa)
• 14,192 homogeneous (shadeless) cocoa polygons digitized from farm plots
• 20,035 additional points/polygons for other land uses (informal gold mining, degraded forest, oil palm, rubber)
• 485 anonymised household clusters (from 4,444 individual surveys) providing socioeconomic context

Collection methods:
• OpenForis Ground (field-based polygon collection)
• Collect Earth Online (land use mapping)
• KoboToolbox (household survey data)

Purpose: Reference dataset for remote sensing, land cover classification, and land use change mapping in cocoa production landscapes.

Limitations:
• Polygons represent portions of farms, not legal or property boundaries.
• Farm sizes do not reflect entire holdings.
• Not suitable for certification or compliance purposes.",,"What can be done immediately:
• Train and validate machine learning models for cocoa farm detection, deforestation monitoring, and land use classification.
• Use as a benchmark dataset to evaluate remote sensing products in heterogeneous tropical landscapes.
• Support policy analysis on sustainable cocoa, land degradation, and restoration planning in Ghana.
How to extend or improve:
• Add new field reference data from other cocoa-producing regions (e.g., Côte d’Ivoire, Nigeria) to increase transferability.
• Integrate household-level socioeconomic data to study drivers of land use change and cocoa–forest dynamics.
• Combine with climate and soil datasets to model sustainability scenarios.
Limitations / ethical use:
• Must not be used for farm-level regulation or compliance; polygons are reference only.
• Potential imbalances between cocoa vs. non-cocoa land use classes should be addressed in model training.
• Users are encouraged to conduct an ethical AI assessment before deploying derived models.
Cost considerations:
• Dataset itself is open access (no cost).
• Small-scale applications (e.g., testing models in Google Earth Engine or QGIS) incur negligible costs.
• Larger-scale ML training and national-scale mapping may require cloud compute budgets
• Train and validate machine learning models for cocoa farm detection, deforestation monitoring, and land use classification.
• Use as a benchmark dataset to evaluate remote sensing products in heterogeneous tropical landscapes.

How to extend or improve: 
• Add new field reference data from other cocoa-producing regions (e.g., Côte d’Ivoire, Nigeria) to increase transferability.","Powered by:  WRI, CERSGIS, NASA SERVIR, Earth System Science Center
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Jonas Nothnagel,Computer Vision,,CC-BY 4.0,"Quote: “We are extremely grateful to Lacuna Fund and are delighted that our reference data collection effort will contribute immensely to an evolving data ecosystem to set up scalable machine learning applications for monitoring land-use change in cocoa-forest mosaic landscapes. Led by the Centre for Remote Sensing and Geographic Services (CERSGIS) and supported by researchers from the Centre for Climate Change and Sustainability Studies University of Ghana, International Crops Research Institute for the Semi-Arid Tropics (ICRISAT), Boston University, and the University of Alabama in Huntsville through SERVIR West Africa and the SERVIR Global network, this work will leverage the local knowledge of youth and community members for science-based participatory data collection. This data will provide critical input for enabling the transformation of commodity-driven supply chain traceability and commercial opportunities for ecosystem sustainability.  

— Foster Mensah Center for Remote Sensing and Geographic Information Services University of Ghana ",Yes,,,
ui_70,Supporting reforestation in Kenya through AI-powered monitoring of trees,,Kenya,"This project developed a efficient AI-powered method and dataset for monitoring of trees in forests in Kenya. Accurate tree crown detection and other parameters will support reforestation efforts in several ways: The datasets enable the development of tools that can rapidly assess the success of reforestation efforts by enabling counting of trees, estimation of trees’ biophysical parameters from drone images, and prediction of tree growth in relation to tree species and weather variables. The data consists of a high-resolution dataset of drone imagery, ground truth tree parameter measurements, and aggregate weather data from a large, reforested area in Kenya.",[not yet published],,"Life on Land (SDG 15): sustainably manage forests, halt and reverse land degradation and halt biodiversity loss.",Dataset,"Geospatial, Images","Prof. Ciira Maina, Centre for Data Science and Artificial Intelligence, Dedan Kimathi University of Technology",,,"Effective forest management and conservation require monitoring tree attributes such as height, crown diameter, and tree count to assess growth in reforested areas. These data enable the development of tools that can speed up the process to assess the success of reforestation efforts and other various ecological and forestry applications, including biomass estimation, forest health assessment, and carbon sequestration studies. Such tools could include the automated counting of trees, estimation of trees’ biophysical parameters from drone images such as tree crown diameter, and prediction of tree growth in relation to tree species and weather variables. In all these areas, AI can offer a cost-effective and scalable alternative to traditional methods of monitoring and counting.

Concretely the following areas of restoration can be improved:
1) Planning - create baseline assessment: By automatically detecting existing tree crowns, tools based on this dataset can create a baseline assessment of the current forest cover. This information is valuable for planning and prioritizing reforestation areas.
2) Monitor Progress: Repeated application of the tree crown detection model can track the success of reforestation initiatives. The model can quantify the increase in tree cover over time, allowing for informed adjustments to reforestation strategies.","Powered by:  Dedan Kimathi University of Technology, Kenya
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,,,https://creativecommons.org/licenses/by/4.0/,"https://www.dw.com/en/artificial-intelligence-boosts-kenyas-forestry-conservation/video-69618432, https://dekut-dsail.github.io/projects/treedetection.html, https://agu.confex.com/agu/agu24/meetingapp.cgi/Paper/1728502, https://ieeexplore.ieee.org/document/11060524",Yes,,Original title: Remote sensing and weather dataset for improved reforestation monitoring,
ui_71,Combatting deforestation & supporting natural resource management in Uganda through satellite imagery AI-datasets and National Forestry Inventory AI-datasets,,Uganda,"Deforestation is a significant contributor to changes in land use/cover in Uganda. This challenge is intensified by agriculture’s extreme vulnerability to climate change. This project has generated datasets that can be utilized to predict land cover types or changes for informed decision-making in natural resource management. The data is accessible, quality satellite imagery datasets and National Forestry Inventory datasets.  Specifically, Sentinel 2 and Hansen tree cover image datasets have been augmented with the inclusion of inventory datasets. A biomass mean stock per hectare dataset for each vegetation type has also been acquired. Annotation procedures of the different datasets allow for machine learning tasks. ",[not yet published],,"Life on Land (SDG 15): sustainably manage forests, halt and reverse land degradation and halt biodiversity loss.",Dataset > Model,,Makerere University,,,The land use/cover change datasets improve the understanding of the relationship between land cover/land use change and climate change. The can also be used to inform practice and policy on how best to manage various potential scenarios and combat deforestation.        ,"Powered by: Makerere University in cooperation with the Uganda National Forestry Authority (NFA)
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,,,,"Quote: “With funding from Lacuna Fund, satellite image and forest inventory datasets will help to develop machine learning models for prediction of land cover types or changes for informed decision-making in natural resource management. Under joint research from Makerere College of Agriculture and Environment Studies and Makerere AI Health Lab, and in partnership with the National Forestry Authority, Uganda, our land use/cover change datasets will improve our understanding of the relationship between land cover/land use change and climate change. It will also be useful in informing practice and policy on how best to manage various potential scenarios. 

— Dr. Sarah Akello, College of Agriculture and Environmental Sciences, Makerere University 

",Yes,,original title: DATASETS FOR PREDICTION OF LAND USE/COVER CHANGES IN UGANDA,
ui_72,African Trees for Climate Resilience: A Comprehensive Database,,"Angola, DRC, Kenya, Mozambique, Nigeria, South Africa,Tanzania, Zambia","Extensive bioinformatics resource that leverages tree species’ medicinal, food provision, and other trait data, together with southern African trees’ climate relationships and growth characteristics for climate adaptation and mitigation planning.  The data can serve to promote the use of indigenous trees for reforestation, regenerative agriculture, ecological restoration, human health and livelihood support, and urban afforestation programs to adapt to and mitigate the impacts of climate change.",[not yet published],,Life on Land (SDG 15): sustainably manage forests,Dataset,"Images, Tabular, ",University of Stellenbosch,,,"The primary application of this work will include identifying indigenous species that can enhance ecological resilience by mapping adaptation and mitigation opportunities and assessing climate risks to African trees. Existing cutting-edge functional niche modeling will allow for the identification of areas for optimal use of African trees based on the results of tree growth performance. This will promote the use of indigenous trees for reforestation, regenerative agriculture, ecological restoration, human health and livelihood support, and urban afforestation programs to adapt to and mitigate the impacts of climate change.","Powered by:  [Stellenbosch University]
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Luisa Olaya,Computer Vision/Picture data,,,"Quote: ""We are excited that Lacuna Fund has provided Stellenbosch, and our team, with the opportunity to utilize these datasets to enable researchers to model the impacts of indigenous trees for adaptation and mitigation to climate change in southern Africa. This information is of the utmost importance in ensuring the continent can build resilience against the rapid unfolding of climate change which is affecting livelihoods and demanding that we find solutions.” 

— Professor Guy Midgley, Acting Director at School for Climate Studies, Stellenbosch University",Yes,,First Editing done by Luisa 28.08.2027,
ui_73,Mangroves Protection in West Africa through AI-powered monitoring of mangrove health - Benin Mangroves Open Data (BeMOD),,Benin,"Mangroves are valuable coastal ecosystems, providing diverse services to humans and playing a critical role in the global strategy to mitigate impacts of climate change. Regular monitoring of their conditions is essential to provide evidence that supports timely decisions for their management. The “Benin Mangroves Open Data (BeMOD)” project generated annotated images, observations on water quality, observations on soil characteristics, climate observations, forest inventories data (tree diversity, canopy height and cover, tree diameter, total height, biomass, etc.) from plots, and data on socio-cultural contexts (e.g., uses, activities) of mangroves in multiple sites in Benin. ",[not yet published],,"climate action (SDG 13), clean water (SDG 6), Life below water (SDG 14), Life on land / biodiversity (SDG 15)",Dataset,"Images, Tabular, ","Romain Lucas        Glèlè Kakaï, Laboratory of Biomathematics and Forest Estimations, University of Abomey-Calavi (glele.romain@gmail.com or romain.glelekakai@fsa.uac.bj)",,,"This datasets can be used to build systems for faster, more regular monitoring of mangrove conditions. This is essential to provide evidence that supports timely decisions for mangrove management and mitigate the outcomes of climate change.
","Powered by: University of Abomey-Calavi, Republic of Benin 
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,Computer Vision/Picture data,,,,Yes,,Original title: Datasets to understand mangroves health in relationship to climate change,
ui_74,Mitigating the impacts of oil palm cultivation on forests and climate change in Indonesia through AI and social forestry,,Indonesia,"This dataset contributes to improved understanding and mitigation of the impacts of oil palm cultivation on forests and climate change. It can also serve to support sustainable forest management practices and empower local communities in forest resource management. 

The project created open and accessible training and evaluation datasets for machine learning applications focused on forest cover and change in Indonesia. It contains collections of polygons of uniform land cover, with labels indicating land cover type and, possibly, information on land cover change over time. To label land cover patches, the team has reviewed high-resolution satellite imagery facilitated by Collect Earth Online (CEO) and augmented it with field visits to difficult-to-classify areas. It has prioritized areas with significant landcover diversity with a preference for areas with significant smallholder production of  oil palm, coconut, and other commodities - given the well-known difficulties of distinguishing oil palm 
from coconut palm with lower resolution imagery.

Possible users of these outputs are local communities engaged in community forestry in Indonesia, as well as researchers, policymakers, and civil society organizations. The dataset also contributes to social forestry, which recognizes that people who depend on local forests are best placed to look after them, and that allowing communities to manage and use forest resources can have positive social, environmental and economic impacts. Social forestry is a broad term and has different names in different places. Some examples are community forestry, village forestry, participatory forestry, community-based forest management and people-centred forestry.",[not yet published],,"Climate action (SDG 13), Life on Land (SDG 15): sustainably manage forests, halt and reverse land degradation and halt biodiversity loss.",Dataset,"Geospacial,  land cover information, metadata, satellite imagery","RECOFTC, Peter Cutter (peter.cutter@recoftc.org)",,,This dataset can help you to get an improved understanding of the impacts of oil palm cultivation on forests and climate change. It can also serve to support sustainable forest management practices and empower local communities in forest resource management.,"Powered by:  RECOFTC
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,Earth Observation/Satellite& drone data,https://www.recoftc.org/sites/default/files/styles/image_scale_w1024/public/2025-03/dji_0037.jpg.webp?itok=l0ilgQi8,,"https://www.recoftc.org/projects/advancing-oil-palm-mapping-social-forestry-and-machine-learning 

Quote: “Communities in the areas targeted by this project are challenged when it comes to mapping the rapidly changing forest landscapes on which they depend. The datasets this project generates will provide valuable insight into these dynamic patterns of change.”  

— Gamma Galudra, Director, Indonesia Country Office, RECOFTC ",Yes,,,Advancing oil palm mapping with social forestry and machine learning
ui_75,Inclusive MRV for India's Eastern Himalayas,,India,,,,,,,Balipara Foundation,,,,"Powered by:  [ADD!!!]
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: “Lacuna Fund will be instrumental in supporting the development of an MRV system that will enable us to participatorily map the health of forests in the biodiverse Eastern Himalayan region with indigenous communities, facilitating targeted interventions for climate resilience through forest management – impacting the millions of people that depend on forests for their lives and livelihoods in the Eastern Himalayas.”  

— Michael Dawson, Rural Futures – Anthropological Visioner, Balipara Foundation 

",Yes,,,
ui_76,Data-enabled climate shock absorbance through agroforestry (Agrof4resilience),,Kenya,,,,"End hunger, achieve food security, sustainable agriculture (SDG 2)",,,International Center of Insect Physiology and Ecology (ICIPE),,,,"Powered by:  [ADD!!!]
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: “The Lacuna-funded Agro4Resilience Project offers Kenyan farmers and decision makers a pathway for informed decision-making that supports tree cover increase. It will also improve agricultural productivity and mitigate climate change effects through ecosystem services.” 

— David Makori, International Centre of Insect Physiology and Ecology (ICIPE)  ",Yes,,,
ui_77,QUANTIFYING COLOMBIAN MANGROVES ABOVEGROUND BIOMASS AND CARBON CONTENT,,Colombia,,,,,,,Centre Tecnològic de Telecomunicacions de Catalunya (CTTC),,,,"Powered by:  [ADD!!!]
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: “The dataset compiled during the project will facilitate accurate AGB and AGC estimation in Colombian Caribbean mangroves, enabling better understanding of carbon storage and supporting conservation and management efforts. It will also provide a valuable resource for future research and monitoring activities related to these important coastal ecosystems. Furthermore, the methodology developed in this project might even be applied beyond the Colombian Caribbean to other mangrove ecosystems with similar structures.”  

— María Cuevas-González, Geomatics Research Unit, Centre Tecnològic de Telecomunicacions de Catalunya (CTTC)  ",Yes,,,
ui_78,Phenological Dataset for Ecological Forecasting (PheDEF Project),,"Ghana,Netherlands",,,,,,,"""Department of Biological Science, School of Science, University of Energy and Natural Resources, Sunyani, Ghana""",,,,"Powered by:  [ADD!!!]
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: “The threat of climate change on forest health affects leaf, flower, and fruit resource availability, but we cannot be prepared unless we have adequate data with predictive power. We have an incredible opportunity to create a harmonized machine-learning-ready dataset for ecological forecasting with the support of Lacuna Fund. Such a forecast could provide the basis for an early warning system that will help communities and resource managers better plan and prepare for climate change impact on forest resources.”

— Bismark Ofosu-Bamfo, Department of Biological Sciences, University of Energy and Natural Resources",Yes,,,
ui_15,Open Air Pollution Data for Patna and Gurugram,Combatting Air Pollution and GHG Emissions in India through hyperlocal AI-powered mapping,India,"Under this initiative, a novel approach is employed by leveraging citizen scientists and IoT-based low-cost sensors to collect hyperlocal air quality data. This data is used to identify pollution sources and risk zones, facilitating targeted actions by regulatory authorities.To showcase data outreach, the project features the VAYU Android-based application and the VAYU citizen portal digital stack, which support targeted interventions and customized solutions backed by AI/ML algorithms. These tools potentially develop new approaches in air pollution management while reducing public investment costs.",https://vayu.undp.org.in/,https://github.com/undpindia/VAYU_OpenAir; https://github.com/EconAIorg/vayu-gnn/tree/main; https://github.com/Alphawarrior21/VayuAssist; https://github.com/akbp24/ClearSky; https://github.com/sherwaldeepesh/vayu_airnode,Climate Action,Dataset  > Model > Pilot > Use-Case,Geospatial,UNDP India (https://www.undp.org/india),"The data for this project is collected by static and dynamic sensor. Static sensors are placed at known hotspots for air pollution while dynamic sensors are moved by citizen scientist continously. 
•        2 Cities
•        100+ Senors
•        150+ Volunteers
•        1000+ Records Collected
•        ~10Million Data Points
","Sensors data is continously shared with specific pollutoin boards, and us ecase dvelopeed under project combined AI and ML to detect pollution sources and provide early alerts, enabling rapid response and policy action.",,"Powered by:  UNDP India
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)","Jonas Nothnagel, Arun Kumar Yadav",Computer Vision,,CC-BY,,Yes,,,Hyperlocal Mapping of Air Pollution and GHG Emissions in India with UNDP
ui_0,Drone images of disease manifestations in cashew plantations in Ghana,AI-powered detection of diseases for Cashew farmers in Ghana,Ghana,"Imagine, that you are a small-holder farmer in Ghana fearing  crop disease in your Cashew farm. You also know that early intervention could increase yields by up to 30%  - The Cashew Disease Identification (CADI AI) dataset and application is there to make early detection of diseases in cashew plantations in Ghana through AI possible. This helps securing livelihoods, boosting food security, and fueling further economic growth. You will be able to use an openly accessible data set (4,736 UAV images), a machine learning model, and a desktop app to replicate this approach.",https://www.kaggle.com/datasets/responsibleailab/crop-disease-ghana/data,https://huggingface.co/datasets/KaraAgroAI/CADI-AI/tree/main,"Climate Action, End hunger, achieve food security, sustainable agriculture (SDG 2)",Dataset  > Model > Pilot > Use-Case,Images,KaraAgro (https://karaagro.com/),"This project is currently undergoing ethical AI assessment

License:  https://www.gnu.org/licenses/agpl-3.0.html",,,"Powered by: Kara Agro (https://karaagro.com/)
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)","Mary Seiwah Afram, Elikplim Sabblah",Computer Vision / Drone Data,,"

https://www.gnu.org/licenses/agpl-3.0.html",,,,,CADI AI Project (ML4Cashew)
ui_1,"Support food security and climate change adaptation efforts with the Ghana Crop Disease Detection data set (tomatoes, pepper and maize)","AI-powered crop disease identification models (tomatoes, pepper and maize)",Ghana,"The Crop Disease data set contains images of diseases data found in tomatoes, pepper and maize. The data was collected in 10 districts of the Ashanti Region of Ghana by the RAIL-KNUST team and the Plant Protection and Research Services Directorate (PPRSD) of the Ministry of Food and Agriculture. A 3-month long data challenge was hosted on Zindi based on this data set and the 3 winning models are also available as open source resources to serve as your base models in your research into crop diseases in Ghana. ",https://www.kaggle.com/datasets/responsibleailab/crop-disease-ghana,https://www.kaggle.com/datasets/responsibleailab/crop-disease-ghana/code,"End hunger, achieve food security, sustainable agriculture (SDG 2)",Dataset > Model,Images,RAIL - KNUST (https://rail.knust.edu.gh/),https://creativecommons.org/licenses/by/4.0/,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",Elikplim Sabblah ,Computer Vision,,https://creativecommons.org/licenses/by/4.0/,,,,,Ghana Biomass Challenge: Ghana Crop Disease Detection Challenge
ui_2,"Detectinging forest degradation by predicting biomass in cocoa plantations in Cote d'Ivoire
","Detectinging forest degradation by predicting biomass in cocoa plantations in Cote d'Ivoire
",Cote d'Ivoire,"The AI model based on this dataset enables efficient and cost-effective remote monitoring of biomass changes. This is crucial for assessing reforestation success and detecting forest degradation due to cocoa farming. Also it reduces the need for extensive and expensive on-the-ground surveys. The dataset and the models developed from it aim to predict biomass levels in shaded regions of Côte d'Ivoire using a combination of GEDI, Sentinel-2 satellite imagery, and ground truth biomass measurements. ",https://huggingface.co/datasets/data354/Africa_Biomass_dataset,,"climate action (SDG 13), Life on Land (SDG 15): sustainably manage forests, halt and reverse land degradation and halt biodiversity loss.",Dataset > Model > Pilot,Images,Data354 (https://data354.com/en/),,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",Elikplim Sabblah ,Computer Vision,,https://creativecommons.org/licenses/by/4.0/,,,,,African Biomass Challenge with Open Cocoa Data
ui_6,Unravel Ghanaian-accented English with the accent classification dataset.,Develop efficient speech recognition technology for Ghanaian-accented English,Ghana,"The Accent Classification Dataset (Ghana) is a collection of audio recordings from native and non-native English speakers across Ghana's diverse regions. Participants read the same three scripts, capturing distinct regional accents and speech patterns. This consistent dataset is valuable for linguistic analysis, accent classification, and speech recognition research focused on Ghanaian English.",https://www.kaggle.com/datasets/responsibleailab/accent-classification-dataset-ghana,,SDG 10 (Reduced inequality through access to info in local languages/NLP),Dataset,Voice,RAIL - KNUST (https://rail.knust.edu.gh/),https://opendatacommons.org/licenses/dbcl/1-0/,,,"""Powered by: RAIL - KNUST (https://rail.knust.edu.gh/)
 Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
 Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)""",Elikplim Sabblah,NLP,,https://opendatacommons.org/licenses/dbcl/1-0/,,,,,
