Category	Organization	Occurrences	Rows	Issue
Catalyzed by	Mozilla Foundation	9	11, 24, 45, 50, 51, 52, 77, 79, 80	OK
Catalyzed by	Seknas JKPP	1	39	OK
Catalyzed by	Sexualised and Gender-Based Violence (P-SGBV) Project of GIZ	1	65	OK
Catalyzed by	Smart Africa	1	24	OK
Catalyzed by	South African Digital Language Resources (SADILAR)	1	77	OK
Catalyzed by	UNESCO decade of indigenous languages	1	77	OK

Financed by	BMZ	86	3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 89, 90, 93	OK
Financed by	FCDO	1	54	OK
Financed by	Gates Foundation	10	11, 24, 45, 50, 51, 52, 53, 54, 79, 80	OK

